EEG,Heart,Pressure,Label
239,77,108,A
178,82,137,B
195,74,142,C
194,77,161,C
193,72,150,C
172,76,150,C
194,74,169,C
176,76,157,C
294,80,123,A
202,72,120,A
182,82,136,B
159,88,104,B
151,73,161,C
198,74,149,C
167,70,151,C
152,76,157,C
162,79,153,C
208,78,134,A
217,80,139,A
189,88,111,B
200,90,134,B
191,72,152,C
296,80,129,A
155,89,104,B
173,80,161,C
188,70,169,C
188,73,163,C
259,73,133,A
245,80,135,A
239,78,118,A
197,70,161,C
188,77,161,C
173,71,168,C
197,76,149,C
180,74,163,C
216,80,135,A
267,78,124,A
150,81,132,B
194,76,151,C
162,70,143,C
199,71,148,C
164,78,146,C
174,72,155,C
184,75,144,C
179,73,159,C
234,77,113,A
280,78,134,A
172,85,103,B
163,78,148,C
168,75,163,C
199,70,153,C
292,73,111,A
280,72,120,A
160,74,152,C
153,71,155,C
175,79,167,C
169,82,126,B
155,87,126,B
161,82,111,B
158,83,139,B
200,76,164,C
193,79,166,C
215,78,127,A
261,75,136,A
191,79,162,C
197,83,134,B
186,84,130,B
159,80,113,B
185,88,120,B
164,80,143,C
162,80,167,C
154,70,167,C
163,74,143,C
186,83,129,B
198,71,159,C
154,72,153,C
182,74,140,C
290,74,102,A
221,78,111,A
168,89,135,B
179,86,139,B
150,84,134,B
159,89,133,B
162,82,121,B
168,90,117,B
167,71,160,C
190,76,145,C
294,76,120,A
214,75,116,A
218,77,116,A
166,83,113,B
199,77,161,C
167,85,123,B
191,89,131,B
193,77,154,C
157,79,169,C
290,71,114,A
183,90,118,B
197,84,122,B
189,80,150,C
158,85,107,B
152,73,152,C
197,79,146,C
196,76,161,C
194,81,104,B
166,88,130,B
190,88,131,B
166,75,170,C
179,77,154,C
164,81,119,B
167,88,107,B
155,70,158,C
223,75,124,A
170,83,113,B
198,76,165,C
234,75,134,A
220,80,104,A
275,79,105,A
165,80,101,B
191,86,138,B
162,76,157,C
160,71,140,C
216,76,102,A
190,75,169,C
187,84,120,B
171,72,152,C
195,74,157,C
172,75,164,C
265,70,116,A
186,86,111,B
184,82,123,B
188,70,163,C
179,89,131,B
160,82,125,B
150,90,135,B
203,71,108,A
180,85,133,B
185,82,110,B
194,71,140,C
192,79,152,C
153,70,157,C
287,72,132,A
184,80,167,C
154,74,164,C
210,80,101,A
192,89,119,B
192,86,102,B
189,75,145,C
252,80,117,A
236,80,126,A
162,88,112,B
197,71,145,C
200,71,159,C
191,76,146,C
197,84,104,B
180,72,153,C
186,78,151,C
226,80,107,A
187,90,118,B
180,90,106,B
172,70,160,C
183,76,155,C
213,74,100,A
151,72,167,C
194,84,101,B
177,87,121,B
194,78,150,C
199,78,156,C
171,80,170,C
291,71,114,A
177,79,145,C
195,78,143,C
239,75,118,A
189,77,150,C
165,80,114,B
189,89,117,B
194,74,140,C
188,77,168,C
172,75,170,C
289,71,107,A
228,71,119,A
186,87,106,B
151,82,140,B
163,81,121,B
195,86,131,B
179,79,167,C
150,77,143,C
150,70,149,C
195,71,163,C
232,79,122,A
265,75,128,A
166,85,135,B
172,79,169,C
161,75,141,C
155,70,140,C
187,78,141,C
251,72,137,A
223,80,100,A
229,76,121,A
169,80,109,B
187,84,132,B
189,72,150,C
151,77,165,C
220,70,124,A
188,77,144,C
190,80,155,C
174,80,142,C
178,85,101,B
172,90,126,B
156,76,162,C
180,80,117,B
190,82,139,B
180,72,142,C
191,75,159,C
153,87,132,B
169,84,140,B
187,77,149,C
158,76,153,C
181,74,170,C
199,74,147,C
151,74,161,C
253,72,134,A
219,72,138,A
217,77,105,A
173,70,147,C
151,76,157,C
190,73,168,C
177,72,144,C
203,77,132,A
218,74,127,A
242,74,103,A
194,83,119,B
172,90,112,B
186,74,150,C
165,84,103,B
174,90,123,B
184,85,102,B
158,80,105,B
156,70,142,C
214,77,105,A
269,80,138,A
294,78,132,A
184,75,151,C
179,71,154,C
164,74,158,C
151,71,151,C
277,72,114,A
253,74,115,A
151,87,122,B
198,87,115,B
200,83,107,B
158,80,161,C
174,79,157,C
168,73,165,C
176,88,113,B
160,78,151,C
188,72,152,C
155,70,162,C
169,73,162,C
268,74,140,A
196,81,129,B
199,76,149,C
194,70,146,C
171,79,146,C
184,71,164,C
167,77,142,C
168,85,106,B
189,80,167,C
161,78,142,C
189,71,144,C
249,70,125,A
151,77,142,C
161,72,166,C
193,90,100,B
156,77,145,C
262,72,123,A
257,72,117,A
180,70,162,C
151,76,143,C
168,74,156,C
182,83,139,B
196,88,115,B
152,71,160,C
227,79,102,A
244,73,119,A
269,73,129,A
194,86,139,B
235,77,101,A
281,80,109,A
199,86,129,B
179,70,169,C
268,75,122,A
257,77,132,A
200,85,113,B
195,82,120,B
200,90,138,B
163,83,128,B
166,70,163,C
152,79,162,C
153,74,160,C
275,74,108,A
289,77,107,A
161,81,123,B
154,77,150,C
176,76,156,C
232,73,107,A
276,70,121,A
264,75,118,A
228,70,140,A
173,76,166,C
165,75,163,C
214,73,115,A
162,73,143,C
167,75,160,C
185,70,161,C
177,74,152,C
221,70,100,A
190,82,123,B
187,77,151,C
152,80,145,C
189,75,153,C
161,89,118,B
157,89,100,B
184,72,165,C
159,76,170,C
171,80,144,C
266,73,140,A
193,84,135,B
190,82,134,B
181,86,123,B
177,85,131,B
166,85,134,B
173,78,157,C
183,77,148,C
262,77,105,A
200,78,106,A
222,71,124,A
188,82,121,B
175,74,154,C
210,72,102,A
246,80,110,A
214,75,118,A
297,77,133,A
183,88,103,B
160,77,150,C
208,76,109,A
226,75,107,A
150,90,108,B
277,78,126,A
192,87,104,B
155,74,152,C
197,80,153,C
196,74,153,C
151,77,160,C
297,72,108,A
214,79,113,A
174,83,110,B
290,72,137,A
280,77,113,A
218,75,103,A
293,76,101,A
169,81,117,B
167,88,120,B
188,87,134,B
163,84,116,B
151,72,163,C
162,76,170,C
177,87,100,B
160,74,156,C
231,79,100,A
180,81,111,B
155,80,150,C
174,76,140,C
153,73,141,C
196,76,144,C
254,75,112,A
168,78,145,C
290,77,109,A
221,76,101,A
185,89,135,B
197,78,143,C
162,75,146,C
192,75,161,C
156,89,116,B
159,79,151,C
177,72,155,C
197,78,168,C
171,88,136,B
162,74,153,C
196,72,152,C
168,83,131,B
243,73,105,A
208,72,140,A
171,81,132,B
199,89,139,B
167,79,151,C
225,79,106,A
179,84,117,B
171,77,166,C
154,73,164,C
195,88,112,B
178,80,120,B
226,73,137,A
205,70,116,A
229,78,125,A
287,77,118,A
194,81,127,B
163,79,156,C
179,86,104,B
180,79,169,C
196,75,158,C
186,84,111,B
185,88,119,B
167,86,106,B
189,87,117,B
164,89,116,B
173,72,144,C
183,75,143,C
217,71,136,A
287,74,129,A
158,87,112,B
188,77,156,C
169,75,161,C
268,70,111,A
184,82,135,B
174,77,141,C
151,76,146,C
209,72,125,A
252,73,119,A
163,70,158,C
210,72,134,A
275,79,105,A
217,78,115,A
243,71,135,A
166,87,102,B
176,90,140,B
193,74,164,C
242,76,106,A
175,87,122,B
182,88,103,B
180,79,143,C
294,79,110,A
292,78,121,A
183,82,119,B
181,88,134,B
200,70,152,C
184,74,146,C
280,74,113,A
200,77,118,A
256,75,138,A
165,83,110,B
165,82,137,B
179,78,154,C
199,70,151,C
174,71,157,C
169,75,165,C
163,75,141,C
294,77,121,A
158,72,166,C
170,72,166,C
218,71,120,A
274,74,100,A
173,88,109,B
181,78,142,C
198,73,169,C
185,70,167,C
293,72,118,A
154,84,122,B
200,89,100,B
155,84,124,B
157,81,105,B
179,73,161,C
196,70,165,C
298,79,125,A
183,70,163,C
196,79,157,C
155,80,168,C
263,73,116,A
256,72,130,A
262,72,129,A
163,74,141,C
157,75,159,C
210,79,106,A
166,72,147,C
174,76,168,C
300,74,109,A
249,70,101,A
197,83,135,B
225,76,115,A
250,79,104,A
194,82,111,B
189,83,119,B
195,77,161,C
189,72,149,C
202,80,118,A
164,89,140,B
186,71,161,C
164,79,142,C
162,70,155,C
196,82,104,B
178,90,124,B
160,80,115,B
240,75,117,A
270,74,123,A
177,89,112,B
192,72,149,C
194,70,145,C
293,70,136,A
224,77,132,A
207,70,132,A
165,79,154,C
198,78,167,C
155,89,109,B
159,77,148,C
166,87,126,B
164,73,166,C
150,77,167,C
184,74,154,C
186,77,166,C
159,71,163,C
265,76,126,A
278,70,131,A
183,80,136,B
158,70,161,C
183,73,141,C
198,72,159,C
288,75,135,A
172,89,104,B
173,70,166,C
189,71,149,C
165,76,165,C
165,72,144,C
199,87,129,B
174,84,108,B
200,85,123,B
183,78,170,C
297,80,131,A
228,70,124,A
206,72,123,A
231,79,101,A
191,80,108,B
153,77,153,C
197,79,160,C
281,70,140,A
155,80,140,B
170,81,136,B
166,82,104,B
173,72,157,C
200,80,162,C
197,77,161,C
292,80,136,A
232,70,127,A
187,80,138,B
190,74,170,C
180,75,151,C
168,79,167,C
151,89,109,B
166,83,116,B
153,73,158,C
217,77,111,A
270,77,124,A
273,70,120,A
189,86,107,B
192,78,165,C
179,80,161,C
283,75,140,A
245,76,125,A
256,76,103,A
150,80,165,C
177,79,165,C
172,72,143,C
237,77,103,A
183,90,113,B
197,79,156,C
167,79,169,C
154,71,162,C
158,82,112,B
167,82,128,B
175,77,143,C
159,75,152,C
193,84,139,B
179,90,119,B
182,88,121,B
160,87,134,B
194,76,168,C
261,70,134,A
199,70,151,C
179,74,167,C
185,72,143,C
174,72,170,C
190,75,148,C
294,71,113,A
257,80,110,A
283,80,118,A
171,88,127,B
168,86,116,B
187,74,161,C
188,70,147,C
178,74,147,C
223,76,121,A
189,90,110,B
159,84,137,B
197,74,161,C
163,74,168,C
153,80,147,C
169,74,150,C
200,75,127,A
281,75,132,A
292,78,117,A
180,84,110,B
152,80,170,C
177,73,143,C
198,73,162,C
233,77,107,A
226,76,134,A
182,81,118,B
194,80,118,B
154,87,132,B
172,84,120,B
174,74,148,C
165,71,146,C
157,72,157,C
169,89,116,B
153,90,120,B
185,73,145,C
157,78,151,C
156,80,160,C
239,80,111,A
220,77,104,A
196,89,130,B
176,71,149,C
184,76,148,C
159,75,163,C
186,72,151,C
159,71,149,C
259,74,126,A
280,78,111,A
285,74,125,A
200,82,121,B
174,76,162,C
166,70,162,C
204,72,123,A
156,82,140,B
254,73,118,A
206,79,121,A
275,79,132,A
201,78,127,A
213,80,123,A
184,86,102,B
155,81,100,B
189,80,131,B
191,80,158,C
179,71,152,C
166,78,142,C
152,72,167,C
157,86,113,B
286,78,138,A
187,82,104,B
188,84,122,B
199,71,159,C
157,78,151,C
297,80,123,A
171,81,109,B
191,82,115,B
161,71,162,C
167,77,167,C
168,83,138,B
163,87,132,B
173,74,163,C
255,76,106,A
281,72,105,A
239,71,137,A
185,72,155,C
199,71,148,C
233,72,127,A
274,70,133,A
197,76,156,C
200,79,141,C
181,71,162,C
223,75,120,A
161,73,168,C
182,79,149,C
254,72,118,A
222,73,140,A
172,81,112,B
190,80,114,B
155,82,123,B
300,71,139,A
219,74,106,A
194,82,109,B
177,77,170,C
155,71,140,C
218,78,113,A
178,77,150,C
219,73,107,A
174,84,139,B
162,76,153,C
196,78,143,C
266,75,137,A
253,72,112,A
211,74,130,A
167,81,127,B
203,80,103,A
249,78,105,A
178,77,142,C
182,70,145,C
195,75,169,C
206,78,125,A
281,77,131,A
276,71,140,A
281,71,116,A
152,85,102,B
173,72,155,C
249,74,111,A
162,86,136,B
163,82,133,B
182,72,163,C
158,79,166,C
267,79,139,A
229,77,118,A
226,71,114,A
251,75,140,A
189,87,112,B
189,72,166,C
198,71,158,C
229,74,118,A
278,76,104,A
263,75,137,A
285,76,136,A
255,76,107,A
188,81,126,B
194,84,117,B
200,75,160,C
153,77,166,C
178,72,165,C
211,72,127,A
169,70,159,C
184,90,105,B
154,86,124,B
152,70,150,C
176,80,144,C
160,75,154,C
213,70,106,A
224,74,119,A
276,71,109,A
176,83,105,B
176,81,136,B
161,83,101,B
157,70,170,C
197,80,168,C
162,78,170,C
276,72,122,A
292,79,137,A
208,79,130,A
202,75,131,A
260,77,106,A
157,71,165,C
163,75,161,C
276,73,102,A
266,80,130,A
173,85,128,B
180,81,130,B
151,85,126,B
198,84,121,B
176,80,141,C
198,76,163,C
236,71,100,A
213,73,140,A
211,75,126,A
232,73,111,A
263,80,119,A
180,86,129,B
151,73,158,C
189,70,170,C
293,74,136,A
278,76,121,A
240,74,116,A
168,84,106,B
162,73,144,C
175,72,151,C
295,80,107,A
255,79,116,A
190,83,113,B
193,78,160,C
241,75,101,A
198,73,156,C
151,77,142,C
231,73,125,A
279,72,126,A
236,71,133,A
278,79,105,A
193,84,138,B
154,73,140,C
295,78,114,A
190,82,116,B
167,71,160,C
223,72,114,A
235,70,112,A
250,70,122,A
263,70,125,A
228,72,102,A
227,78,100,A
233,70,111,A
283,73,120,A
159,88,123,B
183,78,146,C
184,79,159,C
154,78,169,C
200,71,147,C
261,74,118,A
192,78,152,C
178,80,166,C
283,79,129,A
175,90,110,B
150,79,161,C
152,74,155,C
219,76,133,A
244,77,135,A
240,76,133,A
289,77,135,A
157,88,130,B
176,82,133,B
227,73,104,A
260,77,126,A
269,78,129,A
222,73,133,A
186,89,118,B
187,79,154,C
159,71,157,C
151,77,145,C
273,74,126,A
167,85,139,B
156,80,129,B
172,85,113,B
184,87,124,B
158,72,146,C
182,88,124,B
166,73,149,C
188,70,163,C
190,79,153,C
267,77,112,A
189,73,167,C
181,86,113,B
194,77,147,C
240,72,123,A
231,71,122,A
242,77,116,A
195,80,111,B
198,74,145,C
153,78,161,C
285,80,129,A
249,76,134,A
155,82,116,B
198,88,139,B
189,71,169,C
183,74,166,C
156,75,170,C
226,75,126,A
217,71,113,A
207,80,128,A
263,72,106,A
290,78,129,A
250,77,125,A
164,86,115,B
181,76,163,C
260,71,119,A
163,70,152,C
158,73,167,C
187,72,158,C
196,72,153,C
155,86,105,B
154,87,121,B
164,74,147,C
180,71,168,C
245,74,106,A
284,73,122,A
157,82,122,B
152,75,150,C
172,73,166,C
242,80,134,A
260,74,116,A
165,86,138,B
190,74,144,C
187,80,143,C
298,76,108,A
239,75,108,A
162,89,140,B
165,83,109,B
182,71,147,C
254,78,110,A
197,83,135,B
152,78,140,C
230,71,108,A
168,86,106,B
167,80,147,C
173,72,142,C
201,74,117,A
176,80,131,B
165,83,115,B
154,83,108,B
187,82,109,B
199,80,143,C
300,80,106,A
159,76,143,C
187,74,146,C
260,77,116,A
208,74,116,A
159,83,116,B
163,82,129,B
158,75,149,C
169,88,109,B
151,90,118,B
187,80,128,B
167,86,112,B
196,86,134,B
172,87,107,B
154,90,130,B
189,70,166,C
176,72,166,C
152,77,164,C
294,75,100,A
154,86,133,B
161,76,164,C
218,78,131,A
291,72,102,A
247,74,131,A
207,76,115,A
259,72,130,A
176,90,124,B
166,76,153,C
166,75,142,C
166,75,167,C
167,80,109,B
173,73,147,C
170,72,156,C
168,80,147,C
186,74,148,C
271,72,131,A
264,73,124,A
159,87,131,B
178,85,136,B
181,71,149,C
203,72,104,A
160,90,121,B
168,73,144,C
232,78,113,A
245,74,118,A
300,79,120,A
167,83,128,B
175,86,107,B
159,82,108,B
152,89,120,B
182,82,114,B
175,88,128,B
158,88,107,B
176,80,155,C
231,76,103,A
206,70,105,A
257,73,105,A
154,89,117,B
168,74,149,C
198,80,145,C
166,77,157,C
189,83,106,B
168,85,133,B
189,73,165,C
153,73,141,C
198,78,148,C
271,74,124,A
173,84,116,B
196,78,156,C
171,77,148,C
267,71,126,A
213,77,106,A
183,82,135,B
282,78,139,A
235,73,117,A
190,82,137,B
154,75,169,C
152,72,169,C
164,74,165,C
158,75,153,C
282,72,129,A
223,75,122,A
168,78,145,C
244,77,109,A
199,82,138,B
199,85,126,B
168,88,110,B
187,70,166,C
159,78,153,C
254,80,106,A
170,84,138,B
178,88,119,B
296,80,122,A
268,70,110,A
206,70,122,A
198,85,123,B
264,75,127,A
260,73,105,A
295,70,100,A
168,71,157,C
151,78,164,C
292,77,113,A
150,88,110,B
157,80,135,B
189,70,159,C
172,78,144,C
182,76,165,C
166,77,148,C
170,70,169,C
224,70,136,A
150,82,125,B
158,90,140,B
199,78,157,C
299,73,112,A
167,77,163,C
157,77,167,C
159,74,151,C
191,89,131,B
156,89,135,B
164,87,103,B
175,79,153,C
200,79,160,C
242,72,136,A
247,77,124,A
169,89,114,B
156,71,163,C
153,76,170,C
183,77,158,C
158,76,154,C
200,74,108,A
222,70,103,A
182,82,117,B
152,83,133,B
182,88,131,B
199,90,140,B
198,71,152,C
186,76,148,C
170,74,159,C
165,70,162,C
187,73,155,C
267,79,132,A
166,87,105,B
185,88,107,B
200,72,153,C
198,79,153,C
169,72,167,C
187,76,167,C
214,73,133,A
187,72,143,C
242,76,130,A
299,76,105,A
258,80,119,A
258,80,129,A
162,86,120,B
205,75,129,A
188,80,152,C
164,79,167,C
238,76,114,A
184,78,159,C
268,79,110,A
263,73,118,A
232,72,108,A
181,80,114,B
189,90,111,B
158,78,140,C
182,73,159,C
158,73,156,C
267,80,111,A
256,73,102,A
237,74,108,A
189,70,164,C
154,74,169,C
178,70,153,C
275,72,107,A
198,90,100,B
290,75,121,A
168,83,100,B
284,74,103,A
207,77,134,A
191,82,120,B
151,73,147,C
161,80,156,C
192,73,166,C
193,76,142,C
268,78,118,A
194,88,116,B
181,79,154,C
169,70,143,C
154,70,156,C
151,77,147,C
295,77,125,A
157,90,134,B
164,89,130,B
290,80,125,A
279,75,116,A
243,72,102,A
238,73,128,A
152,81,115,B
187,90,127,B
188,74,163,C
153,74,140,C
198,74,146,C
188,79,150,C
259,72,105,A
187,90,116,B
195,88,111,B
161,83,139,B
151,80,157,C
162,70,160,C
270,78,119,A
153,83,121,B
163,79,144,C
173,70,151,C
172,85,102,B
182,77,158,C
170,74,149,C
182,85,100,B
187,77,162,C
191,75,147,C
167,76,157,C
208,80,116,A
196,87,103,B
160,82,117,B
246,78,130,A
278,79,116,A
177,71,158,C
192,79,161,C
190,74,167,C
194,79,140,C
218,77,101,A
184,72,149,C
150,79,158,C
291,71,131,A
271,74,137,A
239,78,108,A
228,77,128,A
172,77,140,C
182,90,125,B
187,86,127,B
160,81,138,B
189,86,123,B
169,85,127,B
186,74,163,C
250,71,109,A
190,85,132,B
183,88,116,B
200,87,136,B
161,72,152,C
176,80,156,C
157,71,141,C
279,71,111,A
295,73,104,A
242,76,111,A
196,84,115,B
171,76,142,C
155,76,164,C
195,72,170,C
155,80,153,C
239,76,129,A
180,85,121,B
184,82,117,B
166,73,147,C
165,74,152,C
176,73,166,C
248,77,104,A
213,70,138,A
166,78,169,C
244,73,125,A
179,77,156,C
158,71,164,C
161,74,146,C
186,72,154,C
190,70,161,C
165,76,149,C
240,74,113,A
246,71,135,A
172,87,102,B
195,73,143,C
151,90,136,B
173,80,169,C
173,72,168,C
184,70,164,C
292,80,104,A
300,79,114,A
268,72,117,A
196,87,114,B
197,70,165,C
276,75,140,A
187,87,113,B
179,71,151,C
160,74,142,C
211,71,120,A
183,84,135,B
195,84,113,B
163,74,146,C
194,75,152,C
216,71,131,A
188,89,108,B
181,81,125,B
189,70,141,C
161,71,145,C
238,72,102,A
266,73,106,A
174,86,109,B
192,80,118,B
192,81,119,B
175,73,145,C
247,75,113,A
286,70,108,A
199,70,157,C
162,72,155,C
200,73,143,C
247,78,101,A
246,76,105,A
294,76,132,A
164,88,131,B
187,71,148,C
182,74,158,C
180,72,148,C
181,78,142,C
164,70,146,C
190,79,169,C
299,78,127,A
221,77,111,A
212,74,133,A
260,75,120,A
179,72,162,C
190,71,157,C
227,76,112,A
158,90,111,B
196,87,108,B
187,77,167,C
175,75,146,C
219,80,115,A
274,78,127,A
185,83,121,B
158,79,141,C
159,87,105,B
169,81,106,B
192,79,159,C
182,77,141,C
174,75,146,C
261,76,110,A
258,76,114,A
159,81,126,B
151,81,122,B
156,72,167,C
176,75,155,C
173,75,140,C
158,72,144,C
284,75,122,A
284,70,107,A
186,88,100,B
164,82,121,B
271,76,140,A
282,80,122,A
292,76,136,A
188,88,105,B
175,85,137,B
162,83,133,B
180,75,166,C
232,70,103,A
151,76,162,C
174,72,155,C
291,78,100,A
213,79,123,A
162,90,132,B
170,85,103,B
185,83,131,B
161,89,111,B
162,78,149,C
151,71,158,C
264,75,110,A
253,72,139,A
253,80,114,A
255,75,100,A
180,85,137,B
175,79,159,C
259,77,127,A
245,77,113,A
261,76,118,A
170,76,152,C
213,77,107,A
234,76,109,A
157,77,153,C
186,73,162,C
286,78,125,A
215,71,104,A
151,89,131,B
191,88,127,B
170,76,150,C
252,75,138,A
254,72,109,A
193,87,110,B
187,70,168,C
199,80,145,C
222,76,104,A
219,72,128,A
287,76,127,A
276,77,139,A
181,89,105,B
152,83,128,B
194,78,162,C
176,70,155,C
169,83,126,B
171,82,117,B
194,72,160,C
177,80,152,C
188,71,161,C
176,73,150,C
202,72,126,A
189,86,122,B
179,84,134,B
158,78,162,C
195,74,159,C
190,72,158,C
184,74,151,C
174,85,102,B
179,90,106,B
171,81,116,B
190,85,105,B
212,73,116,A
152,82,102,B
196,83,137,B
176,80,125,B
200,75,142,C
154,77,160,C
157,72,170,C
213,72,135,A
181,87,133,B
186,86,134,B
163,88,124,B
192,76,154,C
251,72,137,A
237,75,103,A
150,82,109,B
196,85,127,B
186,73,152,C
234,74,136,A
181,71,148,C
178,74,146,C
155,74,160,C
239,77,106,A
266,70,131,A
164,72,164,C
150,80,161,C
152,75,158,C
220,72,100,A
159,90,114,B
167,80,131,B
153,74,161,C
267,77,137,A
163,85,132,B
185,88,131,B
242,70,120,A
182,79,164,C
193,70,144,C
182,86,120,B
300,76,129,A
196,88,108,B
159,84,133,B
187,76,145,C
229,80,138,A
294,72,114,A
249,72,128,A
160,83,140,B
171,83,113,B
172,79,170,C
227,70,119,A
252,80,111,A
278,73,108,A
197,80,112,B
194,75,153,C
244,73,103,A
293,70,135,A
243,75,109,A
199,85,129,B
173,83,128,B
163,84,101,B
182,72,168,C
161,76,158,C
289,71,132,A
294,75,125,A
261,73,117,A
174,85,106,B
184,83,124,B
200,84,124,B
184,71,162,C
162,76,144,C
193,78,158,C
166,70,167,C
231,76,105,A
263,70,136,A
